Filename,Normalized integer,Normalized floating,Normalized control,Cycles,Normalized time avg,Ratio Memory,Ratio branches,Ratio call,Phase
../blacksholes\small\config-8-100\2-blackscholes-small-8core-100cache-x86__-1-0-0,779.055414,1101.45555,178.536666,72513526,0.931640625,0.248704209,9.807085741,0.159333153,0
../blacksholes\small\config-8-100\2-blackscholes-small-8core-100cache-x86__0-2-0,215.168868,1.481904,52.463946,41842251,2.095214844,0.423587618,8.335487487,0.043402835,2
../blacksholes\small\config-8-100\2-blackscholes-small-8core-100cache-x86__1-1-0,1.692168,0.007068,0.41793,426412,0.275146484,0.421156224,8.647506925,0.044662982,1
../blacksholes\small\config-8-100\2-blackscholes-small-8core-100cache-x86__1-1-1,2.587362,0.011034,0.637296,597378,0.281982422,0.422193197,8.550080921,0.044061158,1
../blacksholes\small\config-8-100\2-blackscholes-small-8core-100cache-x86__1-1-10,10.57869,0.045972,2.590824,2123367,0.341308594,0.42358403,8.40462604,0.043621643,1
../blacksholes\small\config-8-100\2-blackscholes-small-8core-100cache-x86__1-1-100,89.851428,0.3912,21.971034,17281364,0.914550781,0.423693001,8.339901139,0.043393497,1
../blacksholes\small\config-8-100\2-blackscholes-small-8core-100cache-x86__1-1-101,90.7278,0.394968,22.185312,17448198,0.921142578,0.42368393,8.339375111,0.043398443,1
../blacksholes\small\config-8-100\2-blackscholes-small-8core-100cache-x86__1-1-102,91.602576,0.398694,22.399032,17615202,0.927734375,0.423678067,8.338883538,0.043403304,1
../blacksholes\small\config-8-100\2-blackscholes-small-8core-100cache-x86__1-1-103,92.485182,0.40254,22.614672,17783933,0.933105469,0.423681361,8.338592588,0.043405184,1
../blacksholes\small\config-8-100\2-blackscholes-small-8core-100cache-x86__1-1-104,93.362574,0.406362,22.829574,17951099,0.939697266,0.423674664,8.338005286,0.043401073,1
../blacksholes\small\config-8-100\2-blackscholes-small-8core-100cache-x86__1-1-105,94.243032,0.410184,23.04513,18118996,0.946289063,0.423671336,8.337535099,0.043396067,1
../blacksholes\small\config-8-100\2-blackscholes-small-8core-100cache-x86__1-1-106,95.125692,0.414024,23.26128,18287461,0.952148438,0.423669026,8.337199669,0.04338953,1
../blacksholes\small\config-8-100\2-blackscholes-small-8core-100cache-x86__1-1-107,96.002418,0.41784,23.476176,18455172,0.958984375,0.423666379,8.336460841,0.043384153,1
../blacksholes\small\config-8-100\2-blackscholes-small-8core-100cache-x86__1-1-108,96.880896,0.42168,23.691588,18622609,0.96484375,0.423666031,8.336159608,0.043377422,1
../blacksholes\small\config-8-100\2-blackscholes-small-8core-100cache-x86__1-1-109,97.763208,0.42555,23.907702,18791236,0.972900391,0.423666288,8.335569243,0.043371546,1
../blacksholes\small\config-8-100\2-blackscholes-small-8core-100cache-x86__1-1-11,11.455842,0.049764,2.804898,2291130,0.348144531,0.423602562,8.401745671,0.043646507,1
../blacksholes\small\config-8-100\2-blackscholes-small-8core-100cache-x86__1-1-110,98.639568,0.429336,24.122016,18958267,0.977539063,0.423659196,8.33529002,0.04337523,1
../blacksholes\small\config-8-100\2-blackscholes-small-8core-100cache-x86__1-1-111,99.517692,0.433122,24.336588,19125811,0.985107422,0.423654176,8.335114695,0.04337839,1
../blacksholes\small\config-8-100\2-blackscholes-small-8core-100cache-x86__1-1-112,100.392042,0.436884,24.550452,19292636,0.990722656,0.423647688,8.334822315,0.0433847,1
../blacksholes\small\config-8-100\2-blackscholes-small-8core-100cache-x86__1-1-113,101.274048,0.440718,24.766026,19460615,0.996582031,0.423642829,8.334504008,0.043385968,1
